identity_key,membership,general_root,generation_family,generation_role,lex_flags,cluster_key,cluster_size,phase
clothes_down,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,HOLDOUT
backless_outfit,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,visual_state,NONE,OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,118,HOLDOUT
naked_randoseru,SPECIAL_ONLY,(none),(none),(none),EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,DISCOVERY
cleavage_window,SPECIAL_ONLY,(none),(none),(none),EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,DISCOVERY
money_in_cleavage,SPECIAL_ONLY,(none),(none),(none),EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,DISCOVERY
bra_no,SPECIAL_ONLY,(none),(none),semantic_support,EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,DISCOVERY
bra_open,SPECIAL_ONLY,(none),(none),semantic_support,EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,DISCOVERY
naked_gakuran,SPECIAL_ONLY,(none),(none),(none),EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,DISCOVERY
naked_fur_coat,SPECIAL_ONLY,(none),(none),(none),EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,HOLDOUT
nude_apron,SPECIAL_ONLY,(none),(none),(none),EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,HOLDOUT
clothed_male_naked_female,SPECIAL_ONLY,(none),(none),(none),EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,HOLDOUT
underwear_pull_(male),SPECIAL_ONLY,(none),(none),(none),EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,HOLDOUT
fully_nude,SPECIAL_ONLY,(none),(none),semantic_support,EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,HOLDOUT
naked_track_jacket,SPECIAL_ONLY,(none),(none),(none),EXPOSURE,SPECIAL_ONLY|(none)|(none)|EXPOSURE,69,HOLDOUT
licking_armpit,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,DISCOVERY
footjob_from_behind,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,DISCOVERY
footjob_under_table,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,DISCOVERY
rusty_trombone,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,DISCOVERY
grabbing_another's_ass,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,DISCOVERY
defloration,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,DISCOVERY
hand_under_clothes,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,HOLDOUT
licking_leg,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,HOLDOUT
reach-around,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,HOLDOUT
footjob_with_legwear,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,HOLDOUT
spreading_own_ass,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,HOLDOUT
fingering_from_behind,OVERLAP,ACTION_CONTACT,ACTION_INTERACTION,action,NONE,OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|NONE,68,HOLDOUT
